advertiser_id,advertiser_name,total_spend_usd,total_creatives,maximum_impressions,total_day
AR00000475401340059649,VINCE LEACH FOR SENATE,10500,5,865000,276
AR00008638175664668673,TINA SMITH FOR MINNESOTA,251500,111,8346000,2294
AR00013006535361822721,NICK LALOTA FOR CONGRESS,3300,3,31000,138
AR00013986200222171137,VESCOGNI FOR STATES ATTORNEY,400,3,3000,41
AR00017645374919409665,DEMOCRATIC PARTY OF OREGON,6200,8,84000,96
AR00018489799849541633,JOHN WATTS CAMPAIGN COMMITTEE,5500,2,3000,59
AR00023984059453538305,TORIANN PARKER,800,1,30000,2
AR00027496999104282625,BATTLEGROUND TEXAS,5300,6,20000,42
AR00030488220487647233,Isaac Flaum,100,30,30000,48
AR00032000598731653121,HARRISON FOR CONGRESS,4300,2,7000,51
AR00035659773428891649,BEACHSIDE MEDIA INC,657500,6488,208278000,41332
AR00036303262609047553,CALVIN SCHRAGE,4400,31,835000,500
AR00036504198359023617,"RESTORE OUR HEALTHCARE, INC.",7200,6,1525000,25
AR00041007797986394113,"NORTH CAROLINA ASSOCIATION OF EDUCATORS, INC.",4900,2,390000,20
AR00045511397613764609,LINDSTROM FOR SENATE,2300,7,38000,351
AR00050014997241135105,FOUNDATION FOR INCLUSIVE URBANISM,700,4,330000,731
AR00053674171938373633,MIKIE SHERRILL FOR CONGRESS,86200,46,2519000,3487
AR00054518596868505601,CAITLIN CAHILL FOR MINNESOTA HOUSE,400,15,30000,88
AR00059022196495876097,WALORSKI FOR CONGRESS INC,52200,37,2353000,1387
AR00062681371193114625,MORGAN MEYER FOR TEXAS,57400,92,22966000,1157
AR00063525796123246593,MOVEON.ORG POLITICAL ACTION,386700,133,23576000,1306
AR00067268808582103041,MICHELLE BECKLEY FOR LT GOV,1400,3,3000,92
AR00068029395750617089,BEN DIAMOND FOR CONGRESS,2800,3,5000,52
AR00068171782506414081,Ryan O'Daniel,100,1,1000,9
AR00071688570447855617,CORI BUSH FOR CONGRESS,6700,13,34000,312
AR00072397755447771137,COMMITTEE FOR MIKE MARSICANO,13300,9,1753000,307
AR00072532995377987585,OUR KIDS FIRST,5100,1,15000,41
AR00074784795191672833,"BUILD GROW SCALE, LLC",5100,12,64000,218
AR00077036595005358081,REPUBLICAN STATE LEADERSHIP COMMITTEE - WASHINGTON PAC,49100,208,18579000,1647
AR00081540194632728577,GRAVIS MARKETING INC,9300,38,9620000,1817
AR00086043794260099073,MALCOLM PAC,20100,15,159000,1339
AR00089702968957337601,COLORADANS FOR FAIRNESS,72700,191,1067000,6503
AR00090547393887469569,"ADVERTISEMINT, INC.",5100,2,128000,33
AR00095050993514840065,AMERICAN PATRIOTS PAC,85400,35,5280000,439
AR00098794005973696513,Jeremy for Georgia,17300,7,669000,154
AR00099554593142210561,BRYAN SLATON CAMPAIGN,2500,18,52000,283
AR00101183244740853761,"GULICK, DANA 4 PA 97",18700,70,1441000,603
AR00103971331350986753,OHIO LEADS INC,19600,1,2000000,3
AR00104058192769581057,SCOTT FRANKLIN FOR CONGRESS,7500,3,37000,277
AR00107717367466819585,RISE INC,1200,1,3000,12
AR00108561792396951553,RE-ELECT SUSAN WENGRAF FOR CITY COUNCIL 2020,900,1,6000,14
AR00110813592210636801,LYDIA BEAN FOR CONGRESS,4000,18,85000,591
AR00116969757814554625,Normoyle for Congress,5200,20,43000,245
AR00117568991651692545,BRONIN FOR HARTFORD,5800,4,390000,96
AR00126576190906433537,FIRST TUESDAY PAC,59000,28,6823000,801
AR00128067403551604737,VAN HOLLEN FOR SENATE,5200,14,578000,214
AR00133696903085817857,ROMNEY FOR UTAH INC,39300,17,1669000,435
AR00134422305882243073,Pat Dowell for Congress,10300,59,1855000,2470
AR00135583390161174529,JOHN GRIMM,4400,2,2150000,56
AR00138337941666660353,LEADERSHIP CENTER FOR ATTORNEY GENERAL STUDIES,2600,1,80000,6
AR00143746164485783553,CAMPAIGN TO ELECT KEVIN BECKNER,1500,2,1550000,32
AR00144590589415915521,ACOMB (PATTY) FOR HOUSE COMMITTEE,9500,21,2519000,412
AR00149094189043286017,OPPORTUNITY FOR ALL FLORIDIANS,56600,30,3911000,539
AR00151210748926754817,COMMITTEE TO ELECT PAMELA GOYNES-BROWN,3800,3,20000,64
AR00153597788670656513,DEMOCRATIC PARTY OF POLK COUNTY,2900,23,1980000,112
AR00158101388298027009,PATRIOT MAJORITY PAC,21600,9,1532000,38
AR00159592600943198209,REFORMING AMERICAS TAXES EQUITABLY,25000,5,950000,52
AR00161760562995265537,LISA BLUNT ROCHESTER FOR CONGRESS,5700,1,50000,7
AR00162604987925397505,JESSICA KING FOR WISCONSIN,33200,8,456000,328
AR00164856787739082753,MONICA DE LA CRUZ HERNANDEZ FOR US CONGRESS,12300,22,128000,2352
AR00167108587552768001,RANDY BRYCE FOR CONGRESS,24100,50,252000,1285
AR00167636353134100481,BURNSFORNH % ROBERT BURNS,6700,2,30000,118
AR00170851600011624449,ACTIVOTE INC,7400,3,363000,226
AR00171612187180138497,COMMITTEE TO ELECT SHANNON LISS-RIORDAN,8000,26,647000,1483
AR00173240838778781697,FAITH IN PUBLIC LIFE ACTION FUND,43600,2,1700000,63
AR00179774961504747521,RACHELLE AUD CROWE FOR SENATE,2200,2,14000,92
AR00180619386434879489,FRIENDS OF DR RALPH ABRAHAM,4700,7,148000,74
AR00181891521388216321,RGA Arizona PAC,6400,1,20000,24
AR00185122986062249985,BURCHETT FOR CONGRESS,7600,109,121000,1728
AR00186113646038876161,ROYCE WEST FOR U.S. SENATE,1600,1,2000,5
AR00190535332049977345,John Anderson For Sheriff,6700,2,915000,32
AR00191255237288263681,NYS SENATE REPUBLICAN CAMPAIGN COMMITTEE,25300,122,11543000,5795
AR00192021871770730497,OKLAHOMA FEDERATION FOR CHILDREN ACTION FUND,29800,4,710000,45
AR00197789360014229505,DANIEL WEBSTER FOR CONGRESS,8400,53,661000,1120
AR00198633784944361473,COMMONWEALTH COMMUNICATIONS,102700,12,8180000,214
AR00203137384571731969,OKLAHOMA MAGA COALITION,1600,2,12000,8
AR00207640984199102465,ZINA SPEZAKIS FOR CONGRESS,3200,9,28000,69
AR00211300158896340993,FLANDERS FOR US SENATE,12700,35,2921000,1340
AR00211383996657958913,WINKLER FOR HENNEPIN,9800,10,33000,112
AR00215803758523711489,CAMPAIGN TO ELECT CELESTE WILLIAMS,5800,4,7000,113
AR00216648183453843457,KENNEY FOR PHILADELPHIA,900,1,8000,54
AR00218899983267528705,JASON ORTIZ,15700,26,1105000,314
AR00220172118220865537,KEEP AMERICA GREAT COMMITTEE,32200,212,477000,947
AR00221151783081213953,"FWD.US EDUCATION FUND, INC.",24900,37,126000,4566
AR00222142443057840129,ANN ASHFORD FOR CONGRESS,3200,8,1859000,20
AR00226646042685210625,Friends for Kathy Hochul,277500,10,9810000,107
AR00232913533841440769,VOTECARBAUGH.COM,2200,3,265000,37
AR00233818157033193473,PROGRESSIVE TAKEOVER,5800,28,32000,736
AR00234461646213349377,JANET NGUYEN FOR ASSEMBLY 2020,28200,4,2160000,70
AR00234662581963325441,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,200,35,35000,365
AR00237417133468811265,XOCHITL FOR NEW MEXICO,126300,62,5442000,818
AR00240438316544032769,Debbie Warner,6200,10,722000,204
AR00242508696939134977,SEAN BAGNIEWSKI FOR IOWA,200,2,2000,73
AR00243669781218066433,CTE ANDRZEJCZAK LAND & MILAM FOR THE FIRST LEGISLATIVE DISTRICT,27100,25,1431000,545
AR00244757198217936897,MORAN FOR KANSAS,5700,8,11000,200
AR00248173380845436929,DR JANE GILLETTE FOR MONTANA,6200,93,1553000,1651
AR00251832555542675457,MAJORITY FORWARD,79600,2,7000000,12
AR00252676980472807425,JUSTICE NOT POLITICS,7000,53,56000,466
AR00254305632071450625,"ENDEAVOR MEDIA GROUP, LLC",5500,10,949000,256
AR00257180580100177921,"Semcasting, INC.",2000,2,250000,94
AR00260923592559034369,BEDFORD 360 LLC,7600,43,1193000,1271
AR00261684179727548417,JERRY CARL FOR CONGRESS,11300,72,377000,3793
